Job Title,Digital Work,Routine Work,Cognitive/ Innovation Work,Interpersonal Work,Management Work,2 Digit NAICS Industy,Rp,Link,Pay,Education,Number of Jobs in 2022,Job Outlook,Employment Change 2022-32
Tornado Chaser,0.2,0.3,0.4,0.1,0,54,0.5,https://www.bls.gov/ooh/life-physical-and-social-science/atmospheric-scientists-including-meteorologists.htm,83780,Bachelor's degree,"10,500",4% (As fast as average),500
Torts Law Professor,0.2,0.1,0.4,0.3,0.1,61,0.2727272727,https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm,80840,See How to Become One,"1,333,900",8% (Faster than average),"108,100"
Tow Boat Captain,0.1,0.4,0.2,0.2,0.1,48,0.5,https://www.bls.gov/ooh/transportation-and-material-moving/water-transportation-occupations.htm,66100,See How to Become One,"83,200",2% (As fast as average),"1,500"
Towboat Engineer,0.1,0.4,0.2,0.2,0.1,48,0.5,https://www.bls.gov/ooh/transportation-and-material-moving/water-transportation-occupations.htm,66100,See How to Become One,"83,200",2% (As fast as average),"1,500"
Towboat Pilot,0.1,0.4,0.3,0.1,0.1,48,0.5,https://www.bls.gov/ooh/transportation-and-material-moving/water-transportation-occupations.htm,66100,See How to Become One,"83,200",2% (As fast as average),"1,500"
Tower Loader Operator,0.05,0.7,0.1,0.05,0.1,23,0.75,https://www.bls.gov/ooh/transportation-and-material-moving/material-moving-machine-operators.htm,41730,See How to Become One,"879,500",4% (As fast as average),"31,700"
Township Clerk,0.4,0.3,0.1,0.15,0.05,92,0.7,https://www.bls.gov/ooh/office-and-administrative-support/information-clerks.htm,38710,See How to Become One,"1,382,600",-4% (Decline),"-54,000"
Tow Truck Operator,0.1,0.7,0.1,0.1,0,48,0.8,https://www.bls.gov/ooh/transportation-and-material-moving/heavy-and-tractor-trailer-truck-drivers.htm,49920,Postsecondary nondegree award,"2,192,300",4% (As fast as average),"89,300"
Toxicologist,0.3,0.2,0.4,0.05,0.05,54,0.5,https://www.bls.gov/ooh/life-physical-and-social-science/medical-scientists.htm,99930,Doctoral or professional degree,"119,000",10% (Much faster than average),"11,600"
Toy Designer,0.4,0.2,0.3,0.1,0.05,33,0.5714285714,https://www.bls.gov/ooh/arts-and-design/industrial-designers.htm,75910,Bachelor's degree,"32,400",2% (As fast as average),700
Trace Evidence Technician,0.2,0.4,0.3,0.1,0,54,0.6,https://www.bls.gov/ooh/life-physical-and-social-science/forensic-science-technicians.htm,63740,Bachelor's degree,"18,500",13% (Much faster than average),"2,300"
Track Patrol,0.05,0.7,0.1,0.1,0.05,48,0.75,https://www.bls.gov/ooh/protective-service/police-and-detectives.htm,69160,See How to Become One,"808,700",3% (As fast as average),"23,800"
Tractor Mechanic,0.05,0.6,0.25,0.05,0.05,81,0.65,https://www.bls.gov/ooh/installation-maintenance-and-repair/heavy-vehicle-and-mobile-equipment-service-technicians.htm,58350,High school diploma or equivalent,"234,800",6% (Faster than average),"13,000"
Tractor Operator,0.05,0.7,0.1,0.1,0.05,11,0.75,https://www.bls.gov/ooh/farming-fishing-and-forestry/agricultural-workers.htm,33290,See How to Become One,"804,600",-2% (Decline),"-16,000"
Tractor Trailer Mechanic,0.1,0.7,0.15,0.05,0,48,0.8,https://www.bls.gov/ooh/installation-maintenance-and-repair/diesel-service-technicians-and-mechanics.htm,54360,High school diploma or equivalent,"291,600",1% (Little or no change),"2,500"
Trade Economist,0.4,0.2,0.3,0.1,0.1,52,0.5454545455,https://www.bls.gov/ooh/life-physical-and-social-science/economists.htm,113940,Master's degree,"17,600",6% (Faster than average),"1,100"
Traffic Court Referee,0.1,0.4,0.3,0.2,0.1,92,0.4545454545,https://www.bls.gov/ooh/legal/judges-and-hearing-officers.htm,128610,Doctoral or professional degree,"42,800",2% (As fast as average),800
Traffic Line Painter,0.05,0.7,0.1,0.05,0.1,23,0.75,https://www.bls.gov/ooh/construction-and-extraction/painters-construction-and-maintenance.htm,46090,No formal educational credential,"372,400",1% (Little or no change),"5,500"
Trail Construction Worker,0.05,0.7,0.15,0.1,0.05,23,0.7142857143,https://www.bls.gov/ooh/building-and-grounds-cleaning/grounds-maintenance-workers.htm,36160,See How to Become One,"1,281,600",3% (As fast as average),"44,200"
Trailhead Construction Worker,0.05,0.7,0.15,0.1,0,23,0.75,https://www.bls.gov/ooh/building-and-grounds-cleaning/grounds-maintenance-workers.htm,36160,See How to Become One,"1,281,600",3% (As fast as average),"44,200"
Trailhead Maintenance Worker,0.1,0.6,0.2,0.1,0.05,71,0.6666666667,https://www.bls.gov/ooh/building-and-grounds-cleaning/grounds-maintenance-workers.htm,36160,See How to Become One,"1,281,600",3% (As fast as average),"44,200"
Trail Maintenance Worker,0.05,0.7,0.1,0.1,0.05,71,0.75,https://www.bls.gov/ooh/building-and-grounds-cleaning/grounds-maintenance-workers.htm,36160,See How to Become One,"1,281,600",3% (As fast as average),"44,200"
Train Brake Operator,0.05,0.7,0.1,0.1,0.05,48,0.75,https://www.bls.gov/ooh/transportation-and-material-moving/railroad-occupations.htm,68960,High school diploma or equivalent,"78,600",1% (Little or no change),800
Train Clerk,0.4,0.4,0.1,0.1,0,48,0.8,https://www.bls.gov/ooh/office-and-administrative-support/information-clerks.htm,38710,See How to Become One,"1,382,600",-4% (Decline),"-54,000"
Train Conductor,0.1,0.6,0.1,0.2,0.1,48,0.6363636364,https://www.bls.gov/ooh/transportation-and-material-moving/railroad-occupations.htm,68960,High school diploma or equivalent,"78,600",1% (Little or no change),800
Train Engineer,0.1,0.6,0.2,0.1,0,48,0.7,https://www.bls.gov/ooh/transportation-and-material-moving/railroad-occupations.htm,68960,High school diploma or equivalent,"78,600",1% (Little or no change),800
Training and development managers,0.4,0.2,0.2,0.6,0.4,61,0.3333333333,https://www.bls.gov/ooh/management/training-and-development-managers.htm,120000,Bachelor's degree,"41,300",6% (Faster than average),"2,700"
Training and development specialists,0.4,0.2,0.2,0.2,0.1,61,0.5454545455,https://www.bls.gov/ooh/business-and-financial/training-and-development-specialists.htm,63080,Bachelor's degree,"385,800",6% (Faster than average),"24,200"
Training Coordinator,0.4,0.2,0.2,0.2,0.1,61,0.5454545455,https://www.bls.gov/ooh/business-and-financial/training-and-development-specialists.htm,63080,Bachelor's degree,"385,800",6% (Faster than average),"24,200"
Training Specialist,0.4,0.2,0.2,0.2,0.1,61,0.5454545455,https://www.bls.gov/ooh/business-and-financial/training-and-development-specialists.htm,63080,Bachelor's degree,"385,800",6% (Faster than average),"24,200"
Train Reservation Clerk,0.4,0.5,0.05,0.4,0.05,48,0.6428571429,https://www.bls.gov/ooh/office-and-administrative-support/information-clerks.htm,38710,See How to Become One,"1,382,600",-4% (Decline),"-54,000"
Transformer Assembler,0.1,0.6,0.1,0.1,0.1,33,0.7,https://www.bls.gov/ooh/production/assemblers-and-fabricators.htm,37930,High school diploma or equivalent,"1,961,900",-6% (Decline),"-125,700"
Transformer Maker,0.1,0.6,0.2,0.05,0.05,33,0.7,https://www.bls.gov/ooh/production/assemblers-and-fabricators.htm,37930,High school diploma or equivalent,"1,961,900",-6% (Decline),"-125,700"
Transit Authority Police,0.1,0.4,0.2,0.3,0.1,48,0.4545454545,https://www.bls.gov/ooh/protective-service/police-and-detectives.htm,69160,See How to Become One,"808,700",3% (As fast as average),"23,800"
Transit Police Officer,0.1,0.4,0.2,0.3,0,48,0.5,https://www.bls.gov/ooh/protective-service/police-and-detectives.htm,69160,See How to Become One,"808,700",3% (As fast as average),"23,800"
Translator,0.7,0.2,0.7,0.1,0.05,54,0.5142857143,https://www.bls.gov/ooh/media-and-communication/interpreters-and-translators.htm,53640,Bachelor's degree,"68,700",4% (As fast as average),"3,000"
Transportation Clerk,0.4,0.4,0.1,0.1,0,48,0.8,https://www.bls.gov/ooh/office-and-administrative-support/information-clerks.htm,38710,See How to Become One,"1,382,600",-4% (Decline),"-54,000"
Transportation Engineering Technician,0.3,0.4,0.2,0.05,0.05,54,0.7,https://www.bls.gov/ooh/architecture-and-engineering/civil-engineering-technicians.htm,59630,Associate's degree,"64,800",1% (Little or no change),600
Trash Collector,0.05,0.9,0.05,0.1,0.05,56,0.8260869565,https://www.bls.gov/ooh/transportation-and-material-moving/hand-laborers-and-material-movers.htm,34960,See How to Become One,"7,099,400",5% (Faster than average),"353,400"
Travel agents,0.4,0.3,0.1,0.2,0.05,56,0.6666666667,https://www.bls.gov/ooh/sales/travel-agents.htm,46400,High school diploma or equivalent,"66,300",3% (As fast as average),"2,300"
Travel Clerk,0.4,0.4,0.1,0.1,0,56,0.8,https://www.bls.gov/ooh/office-and-administrative-support/information-clerks.htm,38710,See How to Become One,"1,382,600",-4% (Decline),"-54,000"
Travel Consultant,0.4,0.3,0.2,0.7,0.1,56,0.4117647059,https://www.bls.gov/ooh/sales/travel-agents.htm,46400,High school diploma or equivalent,"66,300",3% (As fast as average),"2,300"
Travel Counselor,0.3,0.4,0.2,0.7,0.1,56,0.4117647059,https://www.bls.gov/ooh/sales/travel-agents.htm,46400,High school diploma or equivalent,"66,300",3% (As fast as average),"2,300"
Travel Service Consultant,0.4,0.3,0.2,0.6,0.1,56,0.4375,https://www.bls.gov/ooh/sales/travel-agents.htm,46400,High school diploma or equivalent,"66,300",3% (As fast as average),"2,300"
Tree-Shear Operator,0.05,0.7,0.1,0.05,0.1,11,0.75,https://www.bls.gov/ooh/farming-fishing-and-forestry/logging-workers.htm,46580,High school diploma or equivalent,"52,300",-5% (Decline),"-2,400"
Tree Crusher Operator,0.05,0.7,0.1,0.05,0.1,11,0.75,https://www.bls.gov/ooh/farming-fishing-and-forestry/logging-workers.htm,46580,High school diploma or equivalent,"52,300",-5% (Decline),"-2,400"
Tree Pruner,0.05,0.7,0.15,0.1,0,56,0.75,https://www.bls.gov/ooh/building-and-grounds-cleaning/grounds-maintenance-workers.htm,36160,See How to Become One,"1,281,600",3% (As fast as average),"44,200"
Tree Specialist,0.1,0.4,0.3,0.2,0.05,11,0.4761904762,https://www.bls.gov/ooh/building-and-grounds-cleaning/grounds-maintenance-workers.htm,36160,See How to Become One,"1,281,600",3% (As fast as average),"44,200"
Tree Surgeon,0.05,0.6,0.2,0.1,0.05,56,0.65,https://www.bls.gov/ooh/building-and-grounds-cleaning/grounds-maintenance-workers.htm,36160,See How to Become One,"1,281,600",3% (As fast as average),"44,200"
Tree Trimmer,0.05,0.7,0.1,0.1,0.05,56,0.75,https://www.bls.gov/ooh/building-and-grounds-cleaning/grounds-maintenance-workers.htm,36160,See How to Become One,"1,281,600",3% (As fast as average),"44,200"
Tree Trimmer Helper,0.05,0.7,0.1,0.15,0,56,0.75,https://www.bls.gov/ooh/building-and-grounds-cleaning/grounds-maintenance-workers.htm,36160,See How to Become One,"1,281,600",3% (As fast as average),"44,200"
Trench Digger Helper,0.05,0.8,0.05,0.1,0,23,0.85,https://www.bls.gov/ooh/construction-and-extraction/construction-laborers-and-helpers.htm,39520,See How to Become One,"1,624,800",4% (As fast as average),"57,900"
Trench Pipe Layer Helper,0.05,0.7,0.1,0.15,0,23,0.75,https://www.bls.gov/ooh/construction-and-extraction/construction-laborers-and-helpers.htm,39520,See How to Become One,"1,624,800",4% (As fast as average),"57,900"
Triage Licensed Practical Nurse,0.2,0.4,0.2,0.2,0,62,0.6,https://www.bls.gov/ooh/healthcare/licensed-practical-and-licensed-vocational-nurses.htm,54620,Postsecondary nondegree award,"655,000",5% (Faster than average),"34,900"
Triage Registered Nurse,0.2,0.4,0.2,0.2,0,62,0.6,https://www.bls.gov/ooh/healthcare/registered-nurses.htm,81220,Bachelor's degree,"3,172,500",6% (Faster than average),"177,400"
Trial Attorney,0.2,0.2,0.4,0.2,0.1,54,0.3636363636,https://www.bls.gov/ooh/legal/lawyers.htm,135740,Doctoral or professional degree,"826,300",8% (Faster than average),"62,400"
Trial Court Judge,0.1,0.2,0.4,0.2,0.1,92,0.3,https://www.bls.gov/ooh/legal/judges-and-hearing-officers.htm,128610,Doctoral or professional degree,"42,800",2% (As fast as average),800
Trial Lawyer,0.3,0.2,0.3,0.2,0.1,54,0.4545454545,https://www.bls.gov/ooh/legal/lawyers.htm,135740,Doctoral or professional degree,"826,300",8% (Faster than average),"62,400"
Tribal Judge,0.1,0.2,0.4,0.2,0.1,92,0.3,https://www.bls.gov/ooh/legal/judges-and-hearing-officers.htm,128610,Doctoral or professional degree,"42,800",2% (As fast as average),800
Trim Saw Operator,0.05,0.7,0.1,0.05,0.05,33,0.7894736842,https://www.bls.gov/ooh/production/woodworkers.htm,37590,High school diploma or equivalent,"238,900",-1% (Little or no change),"-2,700"
Tripe Cooker,0,0.9,0.05,0.05,0,33,0.9,https://www.bls.gov/ooh/production/food-and-tobacco-processing-workers.htm,36190,See How to Become One,"269,200",6% (Faster than average),"16,400"
Trolley Car Mechanic,0.1,0.6,0.2,0.05,0.05,48,0.7,https://www.bls.gov/ooh/installation-maintenance-and-repair/heavy-vehicle-and-mobile-equipment-service-technicians.htm,58350,High school diploma or equivalent,"234,800",6% (Faster than average),"13,000"
Trolley Car Overhauler,0.05,0.6,0.2,0.1,0.05,48,0.65,https://www.bls.gov/ooh/installation-maintenance-and-repair/heavy-vehicle-and-mobile-equipment-service-technicians.htm,58350,High school diploma or equivalent,"234,800",6% (Faster than average),"13,000"
Trombonist,0.05,0.4,0.4,0.15,0,71,0.45,https://www.bls.gov/ooh/entertainment-and-sports/musicians-and-singers.htm,,No formal educational credential,"173,500",1% (Little or no change),"2,100"
Truck Body Repairer,0.05,0.7,0.15,0.05,0.05,81,0.75,https://www.bls.gov/ooh/installation-maintenance-and-repair/automotive-body-and-glass-repairers.htm,47270,High school diploma or equivalent,"175,200",1% (Little or no change),"2,300"
Truck Engine Technician,0.1,0.6,0.2,0.05,0.05,48,0.7,https://www.bls.gov/ooh/installation-maintenance-and-repair/diesel-service-technicians-and-mechanics.htm,54360,High school diploma or equivalent,"291,600",1% (Little or no change),"2,500"
Truck Transmission Assembler,0.05,0.7,0.15,0.05,0.05,33,0.75,https://www.bls.gov/ooh/production/assemblers-and-fabricators.htm,37930,High school diploma or equivalent,"1,961,900",-6% (Decline),"-125,700"
Truck Transmission Builder,0.05,0.6,0.2,0.05,0.1,33,0.65,https://www.bls.gov/ooh/production/assemblers-and-fabricators.htm,37930,High school diploma or equivalent,"1,961,900",-6% (Decline),"-125,700"
Truck Washer,0.05,0.8,0.05,0.1,0,81,0.85,https://www.bls.gov/ooh/transportation-and-material-moving/hand-laborers-and-material-movers.htm,34960,See How to Become One,"7,099,400",5% (Faster than average),"353,400"
Trumpeter,0.05,0.3,0.4,0.25,0,71,0.35,https://www.bls.gov/ooh/entertainment-and-sports/musicians-and-singers.htm,,No formal educational credential,"173,500",1% (Little or no change),"2,100"
Trumpet Player,0.05,0.4,0.4,0.15,0,71,0.45,https://www.bls.gov/ooh/entertainment-and-sports/musicians-and-singers.htm,,No formal educational credential,"173,500",1% (Little or no change),"2,100"
Tugboat Captain,0.1,0.4,0.2,0.2,0.1,48,0.5,https://www.bls.gov/ooh/transportation-and-material-moving/water-transportation-occupations.htm,66100,See How to Become One,"83,200",2% (As fast as average),"1,500"
Tug Boat Captain,0.1,0.4,0.2,0.2,0.1,48,0.5,https://www.bls.gov/ooh/transportation-and-material-moving/water-transportation-occupations.htm,66100,See How to Become One,"83,200",2% (As fast as average),"1,500"
Tugboat Engineer,0.1,0.4,0.3,0.1,0.1,48,0.5,https://www.bls.gov/ooh/transportation-and-material-moving/water-transportation-occupations.htm,66100,See How to Become One,"83,200",2% (As fast as average),"1,500"
Tug Boat Engineer,0.1,0.4,0.3,0.1,0.1,48,0.5,https://www.bls.gov/ooh/transportation-and-material-moving/water-transportation-occupations.htm,66100,See How to Become One,"83,200",2% (As fast as average),"1,500"
Tugboat Mate,0.1,0.4,0.2,0.2,0.1,48,0.5,https://www.bls.gov/ooh/transportation-and-material-moving/water-transportation-occupations.htm,66100,See How to Become One,"83,200",2% (As fast as average),"1,500"
Tugboat Operator,0.05,0.6,0.2,0.1,0.05,48,0.65,https://www.bls.gov/ooh/transportation-and-material-moving/water-transportation-occupations.htm,66100,See How to Become One,"83,200",2% (As fast as average),"1,500"
Tugboat Pilot,0.05,0.6,0.2,0.1,0.05,48,0.65,https://www.bls.gov/ooh/transportation-and-material-moving/water-transportation-occupations.htm,66100,See How to Become One,"83,200",2% (As fast as average),"1,500"
Turbine Room Attendant,0.05,0.7,0.1,0.1,0.05,22,0.75,https://www.bls.gov/ooh/production/power-plant-operators-distributors-and-dispatchers.htm,97570,High school diploma or equivalent,"47,300",-10% (Decline),"-4,700"
Tutors,0.2,0.3,0.4,0.8,0.1,61,0.2777777778,https://www.bls.gov/ooh/education-training-and-library/tutors.htm,36680,"Some college, no degree","223,700",3% (As fast as average),"7,400"
Two-Way Radio Technician,0.3,0.4,0.2,0.05,0.05,81,0.7,https://www.bls.gov/ooh/installation-maintenance-and-repair/telecommunications-equipment-installers-and-repairers-except-line-installers.htm,60190,See How to Become One,"299,300",6% (Faster than average),"18,900"
Ultrasonic Welding Machine Operator,0.2,0.6,0.1,0.05,0.05,33,0.8,https://www.bls.gov/ooh/production/metal-and-plastic-machine-workers.htm,41060,See How to Become One,"1,048,200",-6% (Decline),"-67,200"
Ultrasonographer,0.3,0.4,0.2,0.1,0,62,0.7,https://www.bls.gov/ooh/healthcare/diagnostic-medical-sonographers.htm,78210,Associate's degree,"142,800",10% (Much faster than average),"14,200"
Ultrasound Technician,0.3,0.5,0.1,0.1,0,62,0.8,https://www.bls.gov/ooh/healthcare/diagnostic-medical-sonographers.htm,78210,Associate's degree,"142,800",10% (Much faster than average),"14,200"
Ultrasound Technologist,0.3,0.4,0.2,0.1,0,62,0.7,https://www.bls.gov/ooh/healthcare/diagnostic-medical-sonographers.htm,78210,Associate's degree,"142,800",10% (Much faster than average),"14,200"
"Umpires, referees, and other sports officials",0.1,0.4,0.2,0.3,0,71,0.5,https://www.bls.gov/ooh/entertainment-and-sports/umpires-referees-and-other-sports-officials.htm,36010,High school diploma or equivalent,"20,400",10% (Much faster than average),"2,000"
Underground Conduit Installer,0.05,0.7,0.1,0.1,0.05,23,0.75,https://www.bls.gov/ooh/installation-maintenance-and-repair/line-installers-and-repairers.htm,82340,High school diploma or equivalent,"122,400",3% (As fast as average),"3,500"
Underwriting Account Representative,0.4,0.3,0.2,0.1,0,52,0.7,https://www.bls.gov/ooh/business-and-financial/insurance-underwriters.htm,76230,Bachelor's degree,"125,500",-2% (Decline),"-3,000"
Underwriting Assistant,0.4,0.4,0.1,0.1,0,52,0.8,https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm,45570,High school diploma or equivalent,"1,312,000",-4% (Decline),"-54,900"
Underwriting Clerk,0.4,0.4,0.1,0.05,0.05,52,0.8,https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm,45570,High school diploma or equivalent,"1,312,000",-4% (Decline),"-54,900"
Underwriting Service Representative,0.4,0.3,0.2,0.1,0,52,0.7,https://www.bls.gov/ooh/business-and-financial/insurance-underwriters.htm,76230,Bachelor's degree,"125,500",-2% (Decline),"-3,000"
Unemployment Benefits Claims Taker,0.6,0.3,0.05,0.05,0,92,0.9,https://www.bls.gov/ooh/office-and-administrative-support/information-clerks.htm,38710,See How to Become One,"1,382,600",-4% (Decline),"-54,000"
Uniform Designer,0.2,0.3,0.3,0.1,0.1,33,0.5,https://www.bls.gov/ooh/arts-and-design/fashion-designers.htm,76700,Bachelor's degree,"24,900",3% (As fast as average),800
Union Representative,0.2,0.3,0.2,0.3,0.1,81,0.4545454545,https://www.bls.gov/ooh/business-and-financial/labor-relations-specialists.htm,82010,Bachelor's degree,"64,600",-1% (Little or no change),-500
University Dean,0.4,0.2,0.2,0.1,0.1,61,0.6,https://www.bls.gov/ooh/management/postsecondary-education-administrators.htm,99940,Master's degree,"218,200",4% (As fast as average),"7,700"
University Department Chair,0.3,0.1,0.3,0.2,0.1,61,0.4,https://www.bls.gov/ooh/management/postsecondary-education-administrators.htm,99940,Master's degree,"218,200",4% (As fast as average),"7,700"
University Institutional Researcher,0.4,0.2,0.3,0.1,0.1,61,0.5454545455,https://www.bls.gov/ooh/business-and-financial/management-analysts.htm,95290,Bachelor's degree,"987,600",10% (Much faster than average),"95,700"
University Librarian,0.4,0.2,0.2,0.15,0.05,61,0.6,https://www.bls.gov/ooh/education-training-and-library/librarians.htm,61660,Master's degree,"141,200",3% (As fast as average),"4,300"
University President,0.4,0.1,0.3,0.6,0.5,61,0.2631578947,https://www.bls.gov/ooh/management/top-executives.htm,100090,Bachelor's degree,"3,787,800",3% (As fast as average),"124,200"
University Registrar,0.4,0.3,0.1,0.1,0.1,61,0.7,https://www.bls.gov/ooh/management/administrative-services-managers.htm,101870,Bachelor's degree,"377,800",5% (Faster than average),"19,900"
Unmanned Aerial Vehicle Operator,0.4,0.3,0.2,0.05,0.05,54,0.7,https://www.bls.gov/ooh/architecture-and-engineering/electro-mechanical-technicians.htm,60570,Associate's degree,"15,200",-3% (Decline),-400
Unmanned Air Systems Operator,0.6,0.2,0.15,0.05,0,54,0.8,https://www.bls.gov/ooh/architecture-and-engineering/electro-mechanical-technicians.htm,60570,Associate's degree,"15,200",-3% (Decline),-400
Upholstery Instructor,0.1,0.4,0.2,0.2,0.1,61,0.5,https://www.bls.gov/ooh/education-training-and-library/career-and-technical-education-teachers.htm,61450,Bachelor's degree,"212,100",0% (Little or no change),-800
Urban and regional planners,0.4,0.2,0.3,0.4,0.2,92,0.4,https://www.bls.gov/ooh/life-physical-and-social-science/urban-and-regional-planners.htm,79540,Master's degree,"44,700",4% (As fast as average),"1,700"
Urban Forester,0.2,0.3,0.25,0.15,0.1,11,0.5,https://www.bls.gov/ooh/life-physical-and-social-science/conservation-scientists.htm,64420,Bachelor's degree,"36,000",4% (As fast as average),"1,300"
Urban Planner,0.4,0.2,0.3,0.4,0.2,54,0.4,https://www.bls.gov/ooh/life-physical-and-social-science/urban-and-regional-planners.htm,79540,Master's degree,"44,700",4% (As fast as average),"1,700"
Urban Planning Professor,0.3,0.1,0.4,0.15,0.05,61,0.4,https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm,80840,See How to Become One,"1,333,900",8% (Faster than average),"108,100"
Urban Sociologist,0.3,0.1,0.4,0.15,0.05,54,0.4,https://www.bls.gov/ooh/life-physical-and-social-science/sociologists.htm,98590,Master's degree,"3,300",5% (Faster than average),100
Urologist,0.1,0.3,0.4,0.2,0.05,62,0.380952381,https://www.bls.gov/ooh/healthcare/physicians-and-surgeons.htm,229300,Doctoral or professional degree,"816,900",3% (As fast as average),"24,600"
Used Car Salesperson,0.2,0.4,0.2,0.6,0.1,44,0.4,https://www.bls.gov/ooh/sales/retail-sales-workers.htm,30750,No formal educational credential,"4,031,700",-2% (Decline),"-76,600"
USPS Letter Carrier,0.1,0.7,0.05,0.1,0.05,48,0.8,https://www.bls.gov/ooh/office-and-administrative-support/postal-service-workers.htm,53680,No formal educational credential,"504,300",-8% (Decline),"-39,000"
Utilities Ground Worker,0.05,0.7,0.1,0.1,0.05,22,0.75,https://www.bls.gov/ooh/construction-and-extraction/construction-laborers-and-helpers.htm,39520,See How to Become One,"1,624,800",4% (As fast as average),"57,900"
Utility Arborist,0.1,0.4,0.3,0.1,0.1,22,0.5,https://www.bls.gov/ooh/building-and-grounds-cleaning/grounds-maintenance-workers.htm,36160,See How to Become One,"1,281,600",3% (As fast as average),"44,200"
Utility Bagger,0.05,0.7,0.05,0.15,0.05,33,0.75,https://www.bls.gov/ooh/transportation-and-material-moving/hand-laborers-and-material-movers.htm,34960,See How to Become One,"7,099,400",5% (Faster than average),"353,400"
Vacuum Cleaner Assembler,0.05,0.8,0.05,0.05,0.05,33,0.85,https://www.bls.gov/ooh/production/assemblers-and-fabricators.htm,37930,High school diploma or equivalent,"1,961,900",-6% (Decline),"-125,700"
Van Loader,0.05,0.8,0.05,0.1,0,48,0.85,https://www.bls.gov/ooh/transportation-and-material-moving/hand-laborers-and-material-movers.htm,34960,See How to Become One,"7,099,400",5% (Faster than average),"353,400"
Vascular Surgeon,0.2,0.2,0.4,0.2,0.1,62,0.3636363636,https://www.bls.gov/ooh/healthcare/physicians-and-surgeons.htm,229300,Doctoral or professional degree,"816,900",3% (As fast as average),"24,600"
Vaudeville Actor,0.05,0.3,0.4,0.25,0,71,0.35,https://www.bls.gov/ooh/entertainment-and-sports/actors.htm,,"Some college, no degree","78,100",3% (As fast as average),"2,500"
Vehicle Body Sander,0.05,0.7,0.1,0.1,0.05,33,0.75,https://www.bls.gov/ooh/installation-maintenance-and-repair/automotive-body-and-glass-repairers.htm,47270,High school diploma or equivalent,"175,200",1% (Little or no change),"2,300"
Vehicle Damage Appraiser,0.3,0.4,0.2,0.1,0,52,0.7,https://www.bls.gov/ooh/business-and-financial/claims-adjusters-appraisers-examiners-and-investigators.htm,72040,See How to Become One,"342,600",-3% (Decline),"-10,700"
Vending Machine Assembler,0.1,0.7,0.1,0.05,0.05,33,0.8,https://www.bls.gov/ooh/production/assemblers-and-fabricators.htm,37930,High school diploma or equivalent,"1,961,900",-6% (Decline),"-125,700"
Veneer Grader,0.05,0.7,0.2,0.05,0,33,0.75,https://www.bls.gov/ooh/farming-fishing-and-forestry/logging-workers.htm,46580,High school diploma or equivalent,"52,300",-5% (Decline),"-2,400"
Venipuncturist,0.05,0.7,0.1,0.15,0,62,0.75,https://www.bls.gov/ooh/healthcare/phlebotomists.htm,38530,Postsecondary nondegree award,"139,400",8% (Faster than average),"10,800"
Verse Writer,0.2,0.3,0.4,0.05,0.05,71,0.5,https://www.bls.gov/ooh/media-and-communication/writers-and-authors.htm,73150,Bachelor's degree,"151,200",4% (As fast as average),"5,600"
Vessel Ordinary Seaman,0.1,0.6,0.1,0.2,0,48,0.7,https://www.bls.gov/ooh/transportation-and-material-moving/water-transportation-occupations.htm,66100,See How to Become One,"83,200",2% (As fast as average),"1,500"
Veterans Rehabilitation Counselor,0.2,0.2,0.3,0.3,0.1,62,0.3636363636,https://www.bls.gov/ooh/community-and-social-service/rehabilitation-counselors.htm,39990,Master's degree,"84,800",2% (As fast as average),"1,600"
Veterinarian Assistant,0.2,0.5,0.1,0.2,0,54,0.7,https://www.bls.gov/ooh/healthcare/veterinary-assistants-and-laboratory-animal-caretakers.htm,34740,High school diploma or equivalent,"114,800",20% (Much faster than average),"23,500"
Veterinarian Helper,0.1,0.6,0.1,0.2,0,54,0.7,https://www.bls.gov/ooh/healthcare/veterinary-assistants-and-laboratory-animal-caretakers.htm,34740,High school diploma or equivalent,"114,800",20% (Much faster than average),"23,500"
Veterinarians,0.2,0.3,0.3,0.15,0.05,54,0.5,https://www.bls.gov/ooh/healthcare/veterinarians.htm,103260,Doctoral or professional degree,"89,500",20% (Much faster than average),"17,700"
Veterinary assistants and laboratory animal caretakers,0.1,0.6,0.2,0.7,0.05,54,0.4242424242,https://www.bls.gov/ooh/healthcare/veterinary-assistants-and-laboratory-animal-caretakers.htm,34740,High school diploma or equivalent,"114,800",20% (Much faster than average),"23,500"
Veterinary Attendant,0.1,0.6,0.1,0.2,0,54,0.7,https://www.bls.gov/ooh/healthcare/veterinary-assistants-and-laboratory-animal-caretakers.htm,34740,High school diploma or equivalent,"114,800",20% (Much faster than average),"23,500"
Veterinary Cardiologist,0.1,0.2,0.4,0.2,0.1,54,0.3,https://www.bls.gov/ooh/healthcare/veterinarians.htm,103260,Doctoral or professional degree,"89,500",20% (Much faster than average),"17,700"
Veterinary Laboratory Technician,0.3,0.4,0.2,0.1,0,54,0.7,https://www.bls.gov/ooh/healthcare/veterinary-technologists-and-technicians.htm,38240,Associate's degree,"122,900",21% (Much faster than average),"25,200"
