Job Title,Digital Work,Routine Work,Cognitive/ Innovation Work,Interpersonal Work,Management Work,Education Level,2 Digit NAICS Industy
Professional Billiard Player,5%,60%,30%,5%,0%,None,71
Professional Bowler,5%,70%,15%,10%,0%,Highschool,71
Professional Bull Rider,5%,20%,25%,25%,5%,Highschool,71
Professional Car Racer,10%,30%,40%,10%,10%,Professional Certificate,71
Professional Dirt Bike Racer,5%,40%,30%,15%,10%,Highschool,71
Professional Drag Car Racer,10%,40%,30%,10%,10%,Professional Certificate,71
Professional Figure Skater,5%,40%,40%,15%,0%,Highschool,71
Professional Football Player,5%,60%,20%,10%,5%,Highschool,71
Professional Golfer,5%,40%,40%,10%,5%,Professional Certificate,71
Professional Hockey Player,5%,40%,30%,20%,5%,Highschool,71
Professional Horse Racer,5%,40%,30%,15%,10%,Highschool,71
Professional Ice Skater,5%,60%,20%,15%,0%,Professional Certificate,71
Professional Jockey,5%,60%,20%,15%,0%,Highschool,71
Professional Kick Boxer,5%,60%,20%,15%,0%,Highschool,71
Professional Motocross Racer,5%,20%,30%,15%,10%,Highschool,71
Professional Prize Fighter,5%,20%,25%,50%,0%,Highschool,71
Professional Pugilist,5%,60%,20%,15%,0%,Highschool,71
Professional Race Car Driver,5%,20%,50%,15%,10%,Professional Certificate,71
Professional Roller Skater,10%,40%,20%,30%,0%,Highschool,71
Professional Skater,10%,40%,30%,20%,0%,None,71
Professional Skier,5%,20%,50%,15%,10%,Highschool,71
Professional Snowboarder,5%,20%,50%,25%,0%,None,71
Professional Soccer Player,5%,60%,20%,10%,5%,Highschool,71
Professional Softball Player,5%,60%,20%,15%,0%,Highschool,71
Professional Stock Car Driver,5%,40%,30%,10%,5%,Highschool,71
Professional Surfer,5%,40%,30%,25%,0%,None,71
Professional Swimmer,5%,70%,15%,10%,0%,Highschool,71
Professional Tennis Player,5%,70%,20%,5%,0%,Highschool,71
Professional Volleyball Player,5%,60%,20%,15%,0%,Highschool,71
Professional Wrestler,5%,40%,20%,35%,0%,Highschool,71
Profession Cyclist,5%,60%,20%,10%,5%,Highschool,71
Professor of Communication and Writing,30%,20%,30%,20%,10%,PhD,61
Professor of Rhetoric,20%,10%,50%,15%,5%,PhD,61
Programmable Logic Controller Assembler,20%,60%,10%,5%,5%,Associates,33
Programmable Logic Controller Programmer,70%,20%,10%,5%,5%,Associates,33
Programmer Analyst,90%,40%,50%,20%,10%,Bachelors,54
Programming Methodology and Languages Researcher,90%,10%,80%,20%,10%,PhD,54
Program Writer,90%,30%,60%,10%,5%,Bachelors,54
Project management specialists,40%,20%,30%,60%,50%,Bachelors,54
Promotions Director,40%,20%,20%,10%,10%,Bachelors,71
Promotions Manager,40%,20%,20%,20%,30%,Bachelors,54
Promotor(a),20%,40%,20%,80%,10%,Highschool,71
Propeller-Driven Airplane Mechanic,10%,60%,20%,10%,0%,Professional Certificate,81
Propeller Layout Worker,10%,60%,20%,5%,5%,Professional Certificate,33
"Property, real estate, and community association managers",30%,40%,20%,60%,50%,Bachelors,53
Property and Casualty Insurance Claims Examiner,40%,30%,20%,10%,5%,Bachelors,52
Property appraisers and assessors,30%,40%,20%,10%,5%,Bachelors,53
Property Damage Claims Adjustor,40%,30%,20%,10%,0%,Bachelors,52
Property Manager,30%,40%,10%,50%,40%,Associates,53
Proposition Player,5%,70%,10%,15%,0%,Highschool,71
Prosecutor,20%,30%,30%,15%,5%,Doctorate,92
Prosthetics Fabrication Technician,20%,40%,30%,10%,0%,Professional Certificate,62
Prosthetics Lab Technician,20%,40%,30%,10%,0%,Professional Certificate,62
Prosthetics Technician,20%,40%,30%,10%,0%,Professional Certificate,62
Prosthetist,20%,30%,30%,15%,5%,Professional Certificate,62
Protective Relay Technician,30%,40%,20%,5%,5%,Associates,22
Protector Plate Attacher,5%,70%,10%,10%,5%,Highschool,31
Protohistorian,10%,20%,50%,10%,10%,PhD,54
Protozoologist,20%,20%,40%,10%,10%,PhD,54
Provost,30%,10%,30%,20%,10%,Doctorate,61
Pruner,5%,80%,10%,5%,0%,None,11
Psychiatric Nurse,20%,30%,25%,60%,10%,Bachelors,62
Psychiatric Nursing Aide,10%,40%,20%,30%,0%,Associates,62
Psychiatric Orderly,10%,60%,10%,20%,0%,Highschool,62
Psychiatric Secretary,40%,30%,10%,20%,0%,Associates,62
Psychiatric Social Worker,20%,20%,30%,30%,10%,Masters,62
Psychiatric Technician Assistant,10%,40%,20%,30%,0%,Associates,62
Psychiatric technicians and aides,10%,40%,20%,30%,5%,Associates,62
Psychologists,20%,20%,40%,80%,10%,Doctorate,62
Psychology Professor,20%,20%,40%,20%,10%,PhD,61
Psychosocial Rehabilitation Counselor,20%,30%,30%,70%,10%,Masters,62
Psychotherapist,10%,20%,40%,30%,0%,Masters,62
Psychotherapist Social Worker,10%,20%,40%,30%,5%,Masters,62
PT,10%,40%,20%,30%,0%,Professional Certificate,62
Public Address System Mechanic,20%,50%,20%,10%,0%,Professional Certificate,81
Public Affairs Director,40%,10%,30%,60%,40%,Bachelors,92
Public Affairs Officer,40%,20%,20%,20%,10%,Bachelors,92
Publications Editor,70%,20%,60%,30%,20%,Bachelors,51
Public Defender,20%,20%,40%,20%,10%,Doctorate,54
Public Health Administrator,40%,20%,20%,10%,10%,Masters,62
Public Health Dentist,10%,30%,40%,15%,5%,Doctorate,62
Public Health Dietitian,20%,30%,30%,20%,10%,Masters,62
Public Health Educator,30%,20%,30%,20%,10%,Bachelors,62
Public Health Microbiologist,30%,20%,40%,10%,0%,Masters,62
Public Health Nutritionist,30%,20%,30%,15%,5%,Masters,62
Public Health Professor,30%,10%,40%,20%,10%,PhD,61
Public Health Sanitarian Technician,20%,40%,20%,15%,5%,Associates,62
Public Health Social Worker,30%,20%,25%,40%,10%,Masters,62
Public Health Veterinarian,20%,30%,30%,15%,5%,Doctorate,62
Public Housing Interviewer,30%,40%,10%,20%,0%,Associates,92
Public Information Director,40%,10%,30%,20%,50%,Bachelors,92
Public Information Relations Manager,40%,20%,20%,60%,40%,Bachelors,51
Publicist,40%,20%,20%,20%,10%,Bachelors,51
Publicity Agent,40%,20%,20%,20%,10%,Bachelors,71
Publicity Director,40%,20%,20%,20%,50%,Bachelors,51
Publicity Writer,70%,10%,60%,40%,10%,Bachelors,51
Public Policy Professor,30%,10%,40%,15%,5%,PhD,61
Public relations and fundraising managers,40%,10%,30%,60%,50%,Bachelors,54
Public Relations Counselor,40%,20%,20%,20%,10%,Bachelors,54
Public Relations Director,40%,10%,30%,60%,50%,Bachelors,54
Public Relations Manager,40%,20%,20%,60%,40%,Bachelors,54
Public Relations Officer,40%,20%,20%,60%,20%,Bachelors,54
Public Relations Representative,40%,20%,20%,60%,10%,Bachelors,54
Public relations specialists,40%,20%,30%,70%,20%,Bachelors,54
Public Safety Director,20%,20%,20%,20%,20%,Bachelors,92
Public Safety Dispatcher,40%,40%,10%,10%,0%,Highschool,92
Public Safety Telecommunicator,40%,40%,10%,10%,0%,Highschool,92
Public safety telecommunicators,40%,40%,10%,10%,0%,Highschool,92
Public School Speech Clinician,10%,30%,40%,20%,0%,Masters,61
Public School Speech Therapist,10%,30%,40%,20%,0%,Masters,61
Public Speaking Professor,20%,20%,30%,30%,10%,Masters,61
Public Transit Bus Driver,5%,70%,10%,10%,5%,Highschool,48
Public Transit Trolley Driver,5%,70%,10%,15%,0%,Highschool,48
Public Works Inspector,20%,40%,20%,10%,10%,Associates,92
Pulmonary Function Technologist,20%,40%,20%,15%,5%,Associates,62
Pulmonary Physical Therapist,10%,30%,40%,20%,0%,Professional Certificate,62
Pulmonary Physician,20%,30%,40%,70%,10%,Doctorate,62
Pulmonologist,10%,20%,40%,30%,5%,Doctorate,62
Pulpwood Cutter,5%,80%,5%,10%,0%,Highschool,11
Pulpwood Dealer,10%,60%,10%,10%,10%,Highschool,11
"Purchasing Agent, Cotton, Grain, Livestock, Other Farm Products",20%,40%,20%,10%,10%,Bachelors,11
Purchasing Assistant,40%,40%,10%,10%,0%,Associates,42
Purchasing Clerk,60%,30%,5%,5%,0%,Associates,42
Purchasing Director,40%,20%,20%,10%,10%,Bachelors,42
"Purchasing managers, buyers, and purchasing agents",40%,30%,20%,40%,30%,Bachelors,42
PV Installer,10%,60%,20%,10%,0%,Professional Certificate,23
PV Panel Installer,10%,60%,20%,10%,0%,Professional Certificate,23
Qualified Medical Dosimetrist,40%,30%,20%,10%,0%,Professional Certificate,62
Quality Assurance Inspector,20%,50%,20%,10%,0%,Associates,31
Quality Control Chemist,30%,40%,20%,5%,5%,Bachelors,32
Quality Control Inspector,30%,40%,20%,10%,0%,Highschool,31
Quality control inspectors,20%,50%,20%,10%,0%,Highschool,31
Quality Control Microbiologist,20%,40%,30%,5%,5%,Bachelors,62
Quality Inspector,30%,40%,20%,10%,0%,Highschool,31
Quilter,5%,60%,25%,5%,5%,Highschool,31
Quilt Stuffer,5%,70%,10%,10%,5%,None,31
Race and Sports Book Writer,40%,40%,10%,10%,0%,Highschool,71
Race Book Writer,20%,60%,10%,10%,0%,Highschool,71
Race Relations Professor,30%,10%,40%,20%,10%,PhD,61
Race Starter,5%,60%,10%,25%,0%,None,71
Radial Drill Operator for Plastic,5%,70%,10%,5%,10%,Highschool,32
Radial Drill Press Operator for Plastic,5%,70%,10%,5%,10%,Highschool,32
Radiation Engineer,30%,20%,30%,10%,10%,Masters,54
Radiation Protection Technician,20%,40%,30%,10%,0%,Associates,62
Radiation therapists,30%,40%,20%,10%,0%,Associates,62
Radiation Therapy Technologist,30%,40%,20%,10%,0%,Professional Certificate,62
Radio/Television Technician,40%,30%,20%,10%,0%,Associates,51
Radio and Television Technical Director,60%,20%,50%,40%,30%,Bachelors,51
Radio Artist,30%,40%,20%,10%,0%,Associates,51
Radio Astronomer,70%,10%,80%,20%,10%,PhD,54
Radiochemical Technician,20%,40%,30%,10%,0%,Bachelors,54
Radio Control Crane Operator,10%,70%,10%,5%,5%,Highschool,23
Radio Disc Jockey,40%,30%,20%,10%,0%,Associates,51
Radio Frequency Technician,40%,30%,20%,5%,5%,Associates,54
Radio Host,30%,40%,20%,70%,10%,Bachelors,51
Radioisotope Technologist,20%,40%,30%,10%,0%,Bachelors,62
Radiological Control and Safety Technician,20%,40%,20%,10%,10%,Associates,62
Radiological Health Specialist,30%,40%,20%,10%,0%,Bachelors,62
Radiologic and MRI technologists,40%,40%,10%,10%,0%,Associates,62
Radiologic Technician,30%,50%,10%,10%,0%,Associates,62
Radiology Equipment Servicer,30%,40%,20%,5%,5%,Associates,62
Radiology Practitioner Assistant,30%,40%,20%,10%,0%,Professional Certificate,62
Radiology Transcriptionist,90%,80%,20%,10%,5%,Professional Certificate,62
Radio Mechanic,10%,60%,20%,5%,5%,Associates,51
Radio Producer,40%,20%,20%,15%,5%,Bachelors,51
Radio Repairer,20%,60%,10%,5%,5%,Professional Certificate,81
Radio Script Writer,40%,30%,60%,20%,10%,Bachelors,51
Radio Station Audio Engineer,70%,20%,10%,30%,10%,Associates,51
Radio Station Manager,40%,20%,20%,10%,10%,Bachelors,51
Radio Time Buyer,30%,40%,20%,10%,0%,Bachelors,51
Radio Time Salesperson,30%,40%,20%,60%,10%,Highschool,51
Radon Inspector,10%,60%,20%,10%,0%,Professional Certificate,54
Rail Car Maintenance Mechanic,10%,60%,20%,5%,5%,Professional Certificate,48
Rail Car Mechanic,10%,60%,20%,5%,5%,Professional Certificate,48
Railcar Switcher,10%,70%,10%,10%,0%,Highschool,48
Railroad Brake Operator,10%,70%,10%,10%,0%,Highschool,48
Railroad Car Cleaner,5%,70%,5%,10%,10%,Highschool,48
Railroad Car Painter,5%,70%,15%,10%,0%,Highschool,48
Railroad Design Consultant,40%,20%,30%,10%,20%,Bachelors,48
Railroad Detective,20%,40%,20%,20%,0%,Highschool,48
Railroad Engineer,10%,60%,20%,5%,5%,Associates,48
Railroad Firer,5%,70%,10%,10%,5%,Highschool,48
Railroad Police Officer,10%,40%,30%,20%,0%,Highschool,48
Railroad workers,10%,60%,10%,10%,10%,Highschool,48
Railway Engineer,20%,30%,30%,10%,10%,Bachelors,48
Railway Switch Operator,10%,70%,10%,5%,5%,Highschool,48
Rake Operator,5%,80%,5%,10%,0%,Highschool,23
Ranch Hand,5%,70%,10%,15%,5%,Highschool,11
Range Conservationist,20%,30%,30%,15%,5%,Bachelors,11
Range Ecologist,20%,20%,40%,10%,10%,Masters,11
Rangelands Conservation Laborer,10%,60%,20%,10%,0%,Highschool,11
Range Scientist,20%,30%,30%,10%,10%,Bachelors,11
Rapper,20%,20%,40%,20%,10%,None,71
Rat Exterminator,5%,70%,10%,15%,0%,Highschool,56
RDH,20%,40%,20%,20%,0%,Associates,62
Reach-Lift Truck Driver,5%,70%,10%,10%,5%,Highschool,49
Reactor Engineer,30%,20%,40%,5%,5%,Bachelors,22
Reactor Operator,20%,50%,20%,10%,0%,Professional Certificate,22
Reactor Projects Engineer,30%,20%,30%,10%,10%,Masters,22
Reading Tutor,10%,40%,30%,20%,0%,Associates,61
Real Estate Administrative Assistant,60%,30%,10%,40%,10%,Associates,53
Real Estate Appraiser,30%,40%,20%,10%,0%,Professional Certificate,53
Real Estate Assessor,40%,30%,20%,10%,5%,Bachelors,53
Real Estate Attorney,30%,20%,30%,15%,5%,Professional Certificate,53
Real estate brokers and sales agents,20%,30%,20%,30%,10%,Highschool,53
Real Estate Clerk,40%,40%,10%,10%,0%,Associates,53
Real Estate Loan Officer,40%,30%,20%,60%,20%,Bachelors,52
Real Estate Manager,30%,20%,25%,15%,10%,Bachelors,53
Real Property Evaluator,40%,30%,20%,10%,0%,Bachelors,53
Realtime Captioner,80%,10%,5%,5%,0%,Professional Certificate,51
Reaming Machine Operator for Plastic,5%,70%,10%,5%,5%,Highschool,31
Rebar Worker,5%,70%,10%,10%,5%,Highschool,23
Receiving Clerk,30%,50%,10%,10%,0%,Highschool,42
Receiving Teller,20%,60%,10%,10%,0%,Highschool,52
Receptionists,30%,50%,10%,70%,5%,Highschool,72
Reconsignment Clerk,40%,40%,10%,10%,0%,Highschool,48
Reconstructive Dentist,20%,30%,30%,15%,5%,Doctorate,62
Reconstructive Surgeon,10%,20%,50%,20%,10%,Doctorate,62
Recording Engineer,70%,20%,40%,30%,10%,Professional Certificate,51
Record Librarian,60%,20%,10%,5%,5%,Associates,51
Records and Information Manager,70%,20%,5%,5%,10%,Bachelors,51
Records Clerk,70%,80%,20%,30%,10%,Highschool,51
Records Management Analyst,70%,20%,40%,20%,10%,Bachelors,51
Records Management Director,70%,20%,40%,30%,60%,Bachelors,51
Recreational Activities Aide,10%,40%,20%,30%,0%,Highschool,71
Recreational Activities Assistant,10%,40%,20%,30%,0%,Associates,71
Recreational Aide,10%,40%,20%,30%,0%,Highschool,71
Recreational therapists,10%,30%,20%,40%,10%,Bachelors,62
Recreation Assistant,10%,40%,20%,30%,5%,Highschool,71
Recreation workers,10%,40%,20%,70%,10%,Highschool,71
Recyclable Materials Collector,5%,80%,5%,10%,0%,Highschool,56
Reference Archivist,40%,20%,20%,15%,5%,Masters,51
Reference Librarian,40%,30%,20%,70%,10%,Masters,51
Reforestation Worker,5%,70%,10%,10%,5%,Highschool,11
Refractory Bricklayer,5%,70%,15%,10%,0%,Professional Certificate,23
Refractory Tile Helper,5%,70%,10%,10%,5%,Highschool,23
Refrigeration Insulator,5%,60%,20%,10%,5%,Highschool,23
Refrigeration Systems Installer,10%,60%,20%,10%,0%,Professional Certificate,23
Refuse Collector,5%,80%,5%,10%,0%,Highschool,56
Regional Airline Pilot,10%,40%,30%,15%,5%,Bachelors,48
Regional Planner,40%,20%,25%,10%,5%,Masters,92
Regional Sales Manager,40%,20%,20%,60%,50%,Bachelors,42
Registered Dental Assistant,20%,50%,10%,20%,0%,Professional Certificate,62
Registered Dental Hygienist,20%,50%,20%,60%,5%,Professional Certificate,62
Registered Diagnostic Medical Sonographer,30%,40%,20%,10%,0%,Associates,62
Registered Land Surveyor,30%,20%,30%,10%,10%,Professional Certificate,54
Registered Medical Transcriptionist,80%,70%,20%,10%,5%,Professional Certificate,62
Registered Nuclear Medicine Technologist,30%,40%,20%,10%,0%,Professional Certificate,62
Registered nurses,20%,40%,20%,70%,10%,Bachelors,62
Registered Nursing Professor,20%,20%,30%,30%,10%,Doctorate,61
Registered Occupational Therapist,20%,30%,30%,70%,10%,Masters,62
Registered Pharmacist,30%,40%,20%,10%,5%,Doctorate,44
Registered Radiation Therapist,20%,40%,20%,15%,5%,Professional Certificate,62
Registered Radiologic Technologist,30%,40%,20%,10%,0%,Professional Certificate,62
Registered Respiratory Therapist,20%,40%,20%,20%,0%,Associates,62
Registered Veterinary Technician,20%,40%,20%,20%,5%,Associates,54
Rehabilitation counselors,20%,30%,30%,80%,10%,Masters,62
Rehabilitation Psychologist,20%,20%,30%,30%,10%,Doctorate,62
Rehabilitation Services Aide,10%,40%,20%,30%,0%,Associates,62
Reinforcing Steel Worker,5%,70%,10%,10%,5%,Highschool,23
Reinsurance Claims Analyst,70%,20%,60%,30%,20%,Bachelors,52
Relationship Counselor,20%,30%,30%,80%,10%,Masters,62
Relay Technician,30%,40%,20%,5%,5%,Associates,22
Religious Studies Professor,20%,20%,40%,20%,10%,PhD,61
Relish Maker,5%,70%,10%,10%,5%,Highschool,31
Remote Broadcast Engineer,70%,10%,10%,5%,5%,Bachelors,51
Remotely Piloted Vehicle Engineering Technician,40%,30%,20%,5%,5%,Associates,54
Renal Social Worker,20%,20%,30%,30%,0%,Masters,62
Replanting Machine Operator,10%,70%,10%,5%,5%,Highschool,11
Repossessor,10%,70%,10%,10%,0%,Highschool,56
Research Agricultural Engineer,40%,20%,30%,5%,5%,PhD,11
Research and Development Chemist,30%,20%,40%,5%,5%,PhD,54
Research Anthropologist,40%,20%,30%,10%,0%,PhD,54
Research Archaeologist,20%,30%,40%,5%,5%,PhD,54
Research Biostatistician,70%,10%,15%,5%,0%,PhD,62
Research Dietitian,30%,20%,30%,15%,5%,Masters,62
Research Geologist,30%,20%,40%,10%,0%,PhD,21
Research Hydraulic Engineer,30%,20%,40%,10%,10%,Masters,54
Research Librarian,60%,20%,70%,40%,10%,Masters,51
Research Physicist,40%,10%,40%,5%,5%,PhD,54
Reservation Agent,70%,60%,20%,40%,10%,Highschool,72
Reservation Sales Agent,70%,60%,20%,50%,10%,Highschool,72
Reserve Tube Welder,5%,70%,15%,5%,5%,Professional Certificate,33
Resident Athletic Trainer,20%,30%,20%,30%,10%,Bachelors,61
Residential Building Inspector,20%,40%,20%,15%,5%,Professional Certificate,23
Residential Carpet Installer,5%,70%,10%,15%,0%,Highschool,23
Residential Construction Instructor,10%,30%,20%,30%,10%,Professional Certificate,23
Residential Fee Appraiser,30%,40%,20%,10%,0%,Bachelors,53
Residential Mortgage Manager,40%,30%,20%,60%,50%,Bachelors,52
Residential Roofer,5%,70%,10%,10%,5%,Highschool,23
Residential Roofer Helper,5%,70%,10%,10%,5%,Highschool,23
Resilient Tile Installer,5%,70%,15%,10%,0%,Professional Certificate,23
Resort Desk Clerk,30%,50%,10%,70%,10%,Highschool,72
Resource Conservationist,30%,20%,30%,15%,5%,Bachelors,11
Resource Forester,20%,30%,30%,10%,10%,Bachelors,11
Respiratory Therapist,20%,40%,20%,20%,0%,Associates,62
Respiratory therapists,20%,40%,20%,20%,0%,Associates,62
Respiratory Therapy Director,20%,20%,30%,20%,10%,Bachelors,62
Restaurant General Manager,20%,40%,20%,60%,50%,Associates,72
Restaurant Server,5%,70%,10%,60%,5%,Highschool,72
Retail Buyer,30%,30%,20%,20%,10%,Bachelors,45
Retail sales workers,10%,60%,10%,15%,5%,Highschool,44
Retail Stocker,10%,70%,5%,10%,5%,Highschool,44
Retirement Plan Specialist,40%,30%,20%,10%,5%,Bachelors,52
Revenue Collector,40%,40%,10%,10%,0%,Highschool,52
Revenue Enforcement Agent,40%,30%,20%,10%,0%,Bachelors,92
Rewrite Editor,70%,20%,70%,20%,10%,Bachelors,51
Rheologist,30%,20%,40%,10%,5%,PhD,54
Rheumatologist,10%,20%,40%,30%,5%,Doctorate,62
Rideshare Cab Driver,30%,50%,5%,15%,0%,Highschool,48
Riding Coach,5%,40%,20%,30%,5%,Professional Certificate,71
Rigging Slinger,5%,70%,10%,10%,5%,Highschool,23
Right of Way Agent,30%,30%,20%,20%,10%,Bachelors,54
Rip Saw Operator,5%,80%,5%,5%,5%,Highschool,31
River Boat Captain,10%,40%,20%,20%,10%,Professional Certificate,48
River Pilot,10%,40%,30%,10%,10%,Professional Certificate,48
RN,15%,40%,25%,20%,5%,Associates,62
Road Grader,5%,70%,15%,10%,0%,Highschool,23
Robotics Testing Technician,60%,20%,15%,5%,0%,Associates,33
Rock Mason,5%,70%,15%,10%,0%,Highschool,23
Rod Buster,5%,70%,10%,15%,0%,Highschool,23
Rod Buster Helper,5%,70%,10%,15%,0%,Highschool,23
Rodent Exterminator,5%,70%,10%,10%,5%,Highschool,56
Rolfer,5%,30%,20%,45%,0%,Professional Certificate,62
Roofer Assistant,5%,70%,10%,10%,5%,None,23
Roofer Helper,5%,80%,5%,10%,0%,None,23
Roofers,5%,70%,10%,10%,5%,Highschool,23
Roofing Laborer,5%,70%,10%,10%,5%,None,23
Roof Painter,5%,70%,10%,10%,5%,Highschool,23
Roof Truss Builder,5%,70%,15%,5%,5%,Highschool,23
Room Service Food Server,5%,70%,5%,20%,0%,Highschool,72
Rotor Coil Taper,5%,70%,15%,5%,5%,Highschool,33
Roulette Dealer,5%,80%,5%,10%,0%,Highschool,71
Route Delivery Clerk,20%,60%,10%,10%,0%,Highschool,49
Route Salesperson,20%,50%,10%,20%,0%,Highschool,42
Route Sales Person,10%,60%,10%,15%,5%,Highschool,42
RRT,10%,40%,30%,20%,0%,Associates,62
Rug Designer,30%,40%,20%,5%,5%,Associates,31
Rural Mail Carrier,10%,70%,10%,5%,5%,Highschool,49
Rural Route Carrier,10%,70%,5%,10%,5%,Highschool,49
Rural Sociologist,20%,20%,40%,20%,10%,PhD,54
Russian History Professor,20%,20%,40%,20%,10%,PhD,61
Russian Language Professor,20%,30%,30%,20%,0%,PhD,61
Rustic Terrazzo Setter,5%,60%,20%,10%,5%,Professional Certificate,23
Sailboat Captain,10%,40%,30%,20%,40%,Professional Certificate,48
Sailor,10%,60%,20%,10%,5%,Highschool,48
Salad Maker,5%,80%,5%,10%,0%,None,72
Sales Account Manager,40%,30%,20%,60%,40%,Bachelors,54
Sales Director,30%,20%,25%,40%,60%,Bachelors,54
Sales engineers,30%,20%,25%,20%,5%,Bachelors,54
Sales managers,30%,20%,25%,50%,60%,Bachelors,44
Sales Route Driver,10%,60%,10%,15%,5%,Highschool,42
Sample Checker,20%,60%,10%,10%,0%,Highschool,31
Sampling Expert,40%,30%,20%,5%,5%,Bachelors,54
Sand Molder,5%,70%,10%,10%,5%,Highschool,33
Sandwich Maker,5%,80%,5%,10%,0%,None,72
Saucier,5%,70%,20%,5%,0%,Professional Certificate,72
Sausage Smoker,5%,70%,10%,10%,5%,Highschool,31
Savings Teller,40%,50%,5%,40%,5%,Highschool,52
Scale Attendant,20%,60%,10%,10%,0%,Highschool,56
Scale Clerk,30%,50%,10%,10%,0%,Highschool,48
Scale Operator,20%,60%,10%,10%,0%,Highschool,42
Scene and Lighting Design Lecturer,30%,20%,30%,15%,5%,Masters,61
School Adjustment Counselor,10%,20%,30%,40%,0%,Masters,61
School and career counselors and advisors,30%,20%,30%,70%,10%,Masters,61
School Bus Driver,5%,80%,5%,10%,0%,Highschool,48
School Bus Mechanic,10%,60%,20%,5%,5%,Professional Certificate,48
School Bus Operator,5%,80%,5%,10%,0%,Highschool,48
School Cook,5%,70%,10%,10%,5%,Highschool,72
School Curriculum Developer,40%,20%,30%,10%,10%,Masters,61
School Custodian,5%,80%,5%,10%,0%,Highschool,61
School Guidance Counselor,20%,20%,30%,30%,10%,Masters,61
School Librarian,30%,40%,20%,70%,10%,Masters,61
School Photographer,40%,40%,10%,10%,0%,Highschool,61
School Social Worker,20%,30%,30%,80%,10%,Masters,61
School Superintendent,30%,10%,30%,20%,10%,Masters,61
Science Education Professor,30%,10%,40%,20%,10%,PhD,61
Scientific Illustrator,70%,20%,60%,10%,5%,Bachelors,54
Scientific Publications Editor,70%,20%,70%,30%,10%,PhD,51
Scooter Mechanic,10%,70%,10%,5%,5%,Professional Certificate,81
Scrap Crane Operator,5%,70%,10%,10%,5%,Highschool,33
Scraper Operator,5%,70%,10%,5%,10%,Highschool,23
Scrap Metal Collector,5%,70%,10%,10%,5%,None,42
Screed Operator,5%,70%,10%,10%,5%,Highschool,23
Screen Writer,40%,20%,70%,30%,10%,Bachelors,51
Screw Machine Operator,5%,70%,10%,5%,10%,Highschool,33
Screw Machine Tool Setter,10%,70%,10%,5%,5%,Highschool,33
Search Marketing Strategist,80%,10%,60%,20%,10%,Bachelors,54
Seaweed Harvester,5%,70%,10%,10%,5%,None,11
Secondary Education Professor,30%,20%,30%,20%,10%,PhD,61
Secondary School Assistant Teacher,20%,30%,30%,20%,0%,Bachelors,61
Secondary School Principal,30%,20%,25%,15%,10%,Masters,61
Secretaries and administrative assistants,70%,60%,30%,50%,20%,Associates,56
"Securities, commodities, and financial services sales agents",70%,30%,60%,50%,20%,Bachelors,52
Securities Clerk,60%,30%,5%,5%,0%,Associates,52
Securities Teller,40%,40%,10%,10%,0%,Associates,52
Securities Trader,70%,20%,70%,40%,20%,Bachelors,52
Security guards and gambling surveillance officers,10%,70%,10%,40%,10%,Highschool,71
Security Officer,10%,60%,10%,15%,5%,Highschool,56
Sedimentationist,20%,30%,40%,10%,0%,Masters,54
Seed Analyst,20%,40%,30%,10%,0%,Bachelors,11
Seedling Puller,5%,80%,5%,10%,0%,None,11
Seeing Eye Dog Trainer,5%,40%,30%,25%,0%,Professional Certificate,62
Seismic Engineer,40%,20%,30%,5%,5%,Masters,54
Seismic Interpreter,70%,10%,15%,5%,0%,Masters,21
Seismic Observer,30%,40%,20%,5%,5%,Bachelors,21
Seismograph Operator,40%,30%,20%,5%,5%,Associates,21
Seismologist,40%,20%,30%,5%,5%,PhD,54
Self-loading Flatbed Truck Driver,5%,70%,15%,5%,5%,Highschool,48
Semi-Truck Driver,5%,70%,15%,5%,5%,Highschool,48
Semiconductor Development Technician,40%,30%,20%,5%,5%,Associates,33
Serials Librarian,40%,30%,20%,10%,5%,Masters,51
Serials or Bindery Library Technical Assistant,40%,30%,20%,10%,0%,Associates,51
Serologist,30%,40%,20%,5%,5%,Bachelors,62
Serology Technician,30%,40%,20%,5%,5%,Bachelors,62
Service Forester,20%,30%,25%,15%,10%,Bachelors,11
Service Order Clerk,40%,40%,10%,10%,0%,Highschool,56
Seventeenth-Century English Literature Professor,20%,10%,50%,15%,5%,PhD,61
Sewage Plant Operator,10%,60%,10%,10%,10%,Highschool,22
Sewer Pipe Layer Helper,5%,70%,10%,10%,5%,None,23
Sewing Machine Assembler,5%,70%,10%,10%,5%,Highschool,33
Sexual Assault Social Worker,20%,20%,30%,30%,10%,Masters,62
Sheep Shearer,5%,70%,10%,15%,0%,None,11
Sheet Metal Duct Installer,5%,70%,15%,10%,0%,Highschool,23
Sheet Metal Duct Installer Helper,5%,70%,10%,15%,0%,Highschool,23
Sheet Metal Fabricator,10%,60%,20%,5%,5%,Highschool,33
Sheet Metal Former,10%,60%,20%,5%,5%,Highschool,33
Sheet Metal Installer,5%,60%,20%,10%,5%,Highschool,23
Sheet Metal Insulator,5%,60%,10%,15%,10%,Highschool,23
Sheet Metal Layout Mechanic,10%,60%,20%,5%,5%,Professional Certificate,33
Sheet Metal Layout Worker,10%,60%,20%,5%,5%,Highschool,33
Sheet Metal Roofer,5%,70%,10%,10%,5%,Highschool,23
Sheet metal workers,5%,60%,20%,10%,5%,Highschool,33
